wifiMAC,time,Status,VRMS A,VRMS B,VRMS C,IRMS A,IRMS B,IRMS C,Active Power(W) A,Active Power(W) B,Active Power(W) C,Active Energy(WHR) A,Active Energy(WHR) B,Active Energy(WHR) C,Reactive Power(VAR) A,Reactive Power(VAR) B,Reactive Power(VAR) C,Reactive Energy(AHHR) A,Reactive Energy(AHHR) B,Reactive Energy(AHHR) C,Apparent Power(VA) A,Apparent Power(VA) B,Apparent Power(VA) C,Apparent Energy(VARHR) A,Apparent Energy(VARHR) B,Apparent Energy(VARHR) C,VTHD A,VTHD B,VTHD C,ITHD A,ITHD B,ITHD C,Power Factor A,Power Factor B,Power Factor C
serial: dc:a6:32:89:f2:d0,2023-08-11 02:50,Normal,118.80,124.43,124.05,0.07,0.00,0.00,17.09,0.01,0.99,0.01,0.00,0.00,-71.71,0.00,0.15,-0.02,0.00,0.00,147.09,0.22,1.36,0.04,0.00,0.00,0.58,1.94,1.41,100.00,400.00,231.74,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 02:51,Normal,118.80,124.38,124.00,0.08,0.00,0.00,16.65,0.01,0.98,0.00,0.00,0.00,-95.91,0.00,0.00,-0.03,0.00,0.00,149.85,0.22,1.36,0.04,0.00,0.00,0.54,1.87,2.04,100.00,400.00,228.05,1.96,0.00,0.41
serial: dc:a6:32:89:f2:d0,2023-08-11 02:52,Normal,118.63,124.24,123.95,0.07,0.00,0.00,16.54,0.01,0.97,0.01,0.00,0.00,-66.10,0.00,0.30,-0.02,0.00,0.00,142.34,0.22,1.36,0.04,0.00,0.00,0.54,2.09,1.60,100.00,400.00,227.92,1.94,0.00,0.38
serial: dc:a6:32:89:f2:d0,2023-08-11 02:53,Normal,118.58,124.19,123.85,0.07,0.00,0.00,13.43,-0.01,0.99,0.01,0.00,0.00,-63.00,-0.15,0.30,-0.02,-0.00,0.00,140.46,0.22,1.38,0.04,0.00,0.00,0.53,1.97,1.86,100.00,400.00,232.03,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 02:54,Normal,118.61,124.21,123.90,0.07,0.00,0.00,15.76,0.00,0.98,0.01,0.00,0.00,-73.18,0.00,0.15,-0.02,0.00,0.00,140.39,0.24,1.37,0.04,0.00,0.00,0.51,2.09,1.78,100.00,400.00,226.91,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 02:55,Normal,118.73,124.36,124.02,0.07,0.00,0.00,17.37,-0.00,0.99,0.01,0.00,0.00,-75.10,0.00,0.15,-0.02,0.00,0.00,148.68,0.22,1.35,0.04,0.00,0.00,0.53,2.14,1.80,100.00,400.00,235.45,1.94,0.00,0.41
serial: dc:a6:32:89:f2:d0,2023-08-11 02:56,Normal,118.87,124.48,124.12,0.07,0.00,0.00,14.42,-0.01,1.01,0.01,0.00,0.00,-76.87,0.00,0.15,-0.02,0.00,0.00,143.77,0.21,1.37,0.04,0.00,0.00,0.53,2.01,1.81,100.00,400.00,232.95,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 02:57,Normal,118.97,124.60,124.24,0.07,0.00,0.00,17.71,-0.01,0.97,0.01,0.00,0.00,-64.04,0.00,0.30,-0.02,0.00,0.00,150.03,0.24,1.33,0.04,0.00,0.00,0.47,2.02,1.71,100.00,400.00,232.52,1.93,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 02:58,Normal,118.51,124.12,123.85,0.07,0.00,0.00,14.80,-0.01,0.96,0.01,0.00,0.00,-65.95,0.00,0.15,-0.02,0.00,0.00,147.28,0.22,1.35,0.04,0.00,0.00,0.38,1.93,1.73,100.00,400.00,231.76,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 02:59,Normal,118.56,124.24,123.88,0.07,0.00,0.00,14.87,-0.01,1.00,0.00,0.00,0.00,-100.48,0.00,0.15,-0.03,0.00,0.00,134.34,0.24,1.38,0.04,0.00,0.00,0.41,2.01,1.89,100.00,400.00,228.42,1.97,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:00,Normal,118.39,123.92,123.64,0.07,0.00,0.00,15.28,0.00,0.99,0.01,0.00,0.00,-65.95,-0.15,0.44,-0.02,-0.00,0.00,135.30,0.22,1.36,0.04,0.00,0.00,0.48,1.98,1.79,100.00,400.00,227.71,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 03:01,Normal,118.39,124.05,123.73,0.08,0.00,0.00,11.19,0.00,0.98,0.01,0.00,0.00,-77.61,0.00,0.15,-0.02,0.00,0.00,149.22,0.22,1.34,0.04,0.00,0.00,0.43,2.03,1.37,100.00,400.00,232.74,1.95,0.00,0.40
