wifiMAC,time,Status,VRMS A,VRMS B,VRMS C,IRMS A,IRMS B,IRMS C,Active Power(W) A,Active Power(W) B,Active Power(W) C,Active Energy(WHR) A,Active Energy(WHR) B,Active Energy(WHR) C,Reactive Power(VAR) A,Reactive Power(VAR) B,Reactive Power(VAR) C,Reactive Energy(AHHR) A,Reactive Energy(AHHR) B,Reactive Energy(AHHR) C,Apparent Power(VA) A,Apparent Power(VA) B,Apparent Power(VA) C,Apparent Energy(VARHR) A,Apparent Energy(VARHR) B,Apparent Energy(VARHR) C,VTHD A,VTHD B,VTHD C,ITHD A,ITHD B,ITHD C,Power Factor A,Power Factor B,Power Factor C
serial: dc:a6:32:89:f2:d0,2023-08-14 06:05,Normal,118.83,124.31,124.05,0.08,0.08,0.11,32.34,6.84,39.96,0.01,0.00,0.02,249.06,-128.37,31.13,0.07,-0.04,0.01,168.15,166.39,228.87,0.05,0.04,0.06,0.40,1.48,1.39,100.00,400.00,400.00,0.11,1.98,0.10
serial: dc:a6:32:89:f2:d0,2023-08-14 06:06,Normal,118.78,124.29,124.02,0.08,0.08,0.11,23.30,-0.37,25.17,0.01,0.00,0.01,217.93,-126.30,51.35,0.06,-0.04,0.01,152.89,162.82,226.54,0.04,0.05,0.06,0.43,1.62,1.57,100.00,400.00,400.00,0.09,1.99,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:07,Normal,118.68,124.17,123.90,0.08,0.08,0.11,27.22,3.32,30.86,0.01,0.00,0.01,213.50,-124.24,53.41,0.06,-0.03,0.01,157.67,163.22,226.78,0.04,0.05,0.06,0.39,1.68,1.60,100.00,400.00,400.00,0.08,1.99,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:08,Normal,118.54,124.05,123.76,0.08,0.08,0.11,29.57,5.38,32.50,0.01,0.00,0.01,217.63,-122.17,46.33,0.06,-0.03,0.01,156.46,173.44,231.44,0.04,0.05,0.06,0.39,1.87,1.54,100.00,400.00,400.00,0.09,2.00,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:09,Normal,118.51,123.97,123.71,0.08,0.08,0.11,13.46,-4.15,17.09,0.01,-0.00,0.01,196.09,-114.50,68.31,0.05,-0.03,0.02,153.86,164.49,231.31,0.04,0.05,0.06,0.44,1.72,1.38,100.00,400.00,400.00,0.07,1.98,0.05
serial: dc:a6:32:89:f2:d0,2023-08-14 06:10,Normal,118.46,123.92,123.66,0.08,0.08,0.11,30.56,5.65,34.34,0.01,0.00,0.01,212.03,-136.92,56.07,0.06,-0.04,0.02,165.34,172.12,236.54,0.04,0.05,0.06,0.44,1.62,1.28,100.00,400.00,400.00,0.08,1.98,0.06
serial: dc:a6:32:89:f2:d0,2023-08-14 06:11,Normal,118.49,124.00,123.71,0.07,0.08,0.11,13.38,3.08,15.56,0.01,0.00,0.01,185.17,-133.97,71.71,0.05,-0.04,0.02,145.81,173.07,227.23,0.04,0.05,0.06,0.43,1.81,1.49,100.00,400.00,400.00,0.06,1.99,0.04
serial: dc:a6:32:89:f2:d0,2023-08-14 06:12,Normal,118.27,123.76,123.47,0.08,0.08,0.11,24.32,6.05,28.17,0.01,0.00,0.01,217.78,-127.19,49.28,0.06,-0.04,0.01,156.05,165.91,225.17,0.04,0.04,0.06,0.44,1.90,1.58,100.00,400.00,400.00,0.09,1.98,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:13,Normal,118.46,123.95,123.66,0.08,0.08,0.11,23.29,4.16,26.61,0.01,0.00,0.01,206.12,-133.83,57.25,0.06,-0.04,0.02,152.43,173.44,228.97,0.04,0.05,0.06,0.37,1.77,1.50,100.00,400.00,400.00,0.09,1.98,0.07
serial: dc:a6:32:89:f2:d0,2023-08-14 06:14,Normal,118.63,124.12,123.80,0.08,0.08,0.11,29.31,7.12,37.58,0.01,0.00,0.02,240.36,-132.20,34.97,0.07,-0.04,0.01,160.33,166.26,229.06,0.04,0.05,0.06,0.37,1.69,1.23,100.00,400.00,400.00,0.10,1.98,0.09
